院校名称,院校代码,所在地区,院校主管部门,院校层次,院校满意度
太原工业学院,14101,山西,山西省教育厅,本科,4.1
山西老区职业技术学院,14105,山西,山西省教育厅,高职(专科),N/A
山西经贸职业学院,14177,山西,山西省教育厅,高职(专科),4.0
朔州职业技术学院,14186,山西,山西省教育厅,高职(专科),4.0
运城职业技术大学,14226,山西,山西省教育厅,本科,4.2
山西铁道职业技术学院,14247,山西,山西省教育厅,高职(专科),3.6
晋中师范高等专科学校,14270,山西,山西省教育厅,高职(专科),3.7
阳泉师范高等专科学校,14271,山西,山西省教育厅,高职(专科),4.3
山西青年职业学院,14336,山西,山西省教育厅,高职(专科),4.0
运城护理职业学院,14397,山西,山西省教育厅,高职(专科),3.6
山西传媒学院,14434,山西,山西省教育厅,本科,4.1
运城师范高等专科学校,14461,山西,山西省教育厅,高职(专科),3.4
朔州师范高等专科学校,14462,山西,山西省教育厅,高职(专科),3.7
吕梁职业技术学院,14500,山西,山西省教育厅,高职(专科),N/A
山西工程技术学院,14527,山西,山西省教育厅,本科,4.1
大同师范高等专科学校,14627,山西,山西省教育厅,高职(专科),N/A
太原幼儿师范高等专科学校,14628,山西,山西省教育厅,高职(专科),N/A
长治幼儿师范高等专科学校,14687,山西,山西省教育厅,高职(专科),N/A
山西通用航空职业技术学院,14697,山西,山西省教育厅,高职(专科),N/A
朔州陶瓷职业技术学院,14698,山西,山西省教育厅,高职(专科),N/A
吕梁师范高等专科学校,14777,山西,山西省教育厅,高职(专科),N/A
山西工程科技职业大学,16201,山西,山西省教育厅,本科,4.4
山西卫生健康职业学院,50166,山西,山西省教育厅,高职(专科),4.3
山西能源学院,51189,山西,山西省教育厅,本科,4.0
山西省政法管理干部学院,51787,山西,山西省教育厅,高职(专科),3.9
内蒙古大学,10126,内蒙古,内蒙古自治区教育厅,本科,4.4
内蒙古科技大学,10127,内蒙古,内蒙古自治区教育厅,本科,4.2
内蒙古工业大学,10128,内蒙古,内蒙古自治区教育厅,本科,4.2
内蒙古农业大学,10129,内蒙古,内蒙古自治区教育厅,本科,4.2
内蒙古医科大学,10132,内蒙古,内蒙古自治区教育厅,本科,3.9
内蒙古师范大学,10135,内蒙古,内蒙古自治区教育厅,本科,4.1
内蒙古民族大学,10136,内蒙古,内蒙古自治区教育厅,本科,4.1
赤峰学院,10138,内蒙古,内蒙古自治区教育厅,本科,4.1
内蒙古财经大学,10139,内蒙古,内蒙古自治区教育厅,本科,4.3
呼伦贝尔学院,10819,内蒙古,内蒙古自治区教育厅,本科,4.1
内蒙古建筑职业技术学院,10871,内蒙古,内蒙古自治区教育厅,高职(专科),3.9
集宁师范学院,11427,内蒙古,内蒙古自治区教育厅,本科,4.0
内蒙古丰州职业学院,11429,内蒙古,内蒙古自治区教育厅,高职(专科),2.7
河套学院,11631,内蒙古,内蒙古自治区教育厅,本科,4.1
呼和浩特民族学院,11709,内蒙古,内蒙古自治区教育厅,本科,4.1
包头职业技术学院,12057,内蒙古,内蒙古自治区教育厅,高职(专科),3.7
兴安职业技术学院,12443,内蒙古,内蒙古自治区教育厅,高职(专科),3.8
呼和浩特职业学院,12670,内蒙古,内蒙古自治区教育厅,高职(专科),4.0
包头轻工职业技术学院,12671,内蒙古,内蒙古自治区教育厅,高职(专科),3.6
内蒙古电子信息职业技术学院,12673,内蒙古,内蒙古自治区教育厅,高职(专科),3.7
内蒙古机电职业技术学院,12674,内蒙古,内蒙古自治区教育厅,高职(专科),4.2
内蒙古化工职业学院,12675,内蒙古,内蒙古自治区教育厅,高职(专科),4.0
内蒙古商贸职业学院,12676,内蒙古,内蒙古自治区教育厅,高职(专科),3.9
锡林郭勒职业学院,12677,内蒙古,内蒙古自治区教育厅,高职(专科),4.1
内蒙古警察职业学院,12797,内蒙古,内蒙古自治区教育厅,高职(专科),4.4
内蒙古体育职业学院,12894,内蒙古,内蒙古自治区教育厅,高职(专科),N/A
乌兰察布职业学院,13699,内蒙古,内蒙古自治区教育厅,高职(专科),3.9
通辽职业学院,13740,内蒙古,内蒙古自治区教育厅,高职(专科),4.0
科尔沁艺术职业学院,13741,内蒙古,内蒙古自治区教育厅,高职(专科),3.5
内蒙古交通职业技术学院,13824,内蒙古,内蒙古自治区教育厅,高职(专科),3.7
包头钢铁职业技术学院,13864,内蒙古,内蒙古自治区教育厅,高职(专科),3.3
乌海职业技术学院,13915,内蒙古,内蒙古自治区教育厅,高职(专科),3.6
内蒙古科技职业学院,14048,内蒙古,内蒙古自治区教育厅,高职(专科),2.8
内蒙古北方职业技术学院,14049,内蒙古,内蒙古自治区教育厅,高职(专科),3.0
包头铁道职业技术学院,14187,内蒙古,内蒙古自治区教育厅,高职(专科),3.6
内蒙古大学创业学院,14199,内蒙古,内蒙古自治区教育厅,本科,3.9
内蒙古鸿德文理学院,14205,内蒙古,内蒙古自治区教育厅,本科,3.8
乌兰察布医学高等专科学校,14219,内蒙古,内蒙古自治区教育厅,高职(专科),3.8
鄂尔多斯职业学院,14248,内蒙古,内蒙古自治区教育厅,高职(专科),4.0
呼伦贝尔职业技术学院,14283,内蒙古,内蒙古自治区教育厅,高职(专科),3.5
